step, mean infection rate, std. dev
0,0.0167,0.0015
600,0.0187,0.0068
1200,0.0214,0.0099
1800,0.0245,0.0125
2400,0.0262,0.0135
3000,0.0311,0.0168
3600,0.0367,0.0235
4200,0.0423,0.0277
4800,0.0458,0.0335
5400,0.0528,0.0392
6000,0.0598,0.0420
6600,0.0686,0.0524
7200,0.0830,0.0682
7800,0.0963,0.0783
8400,0.1084,0.0858
9000,0.1245,0.0979
9600,0.1389,0.1088
10200,0.1559,0.1180
10800,0.1720,0.1297
11400,0.1918,0.1427
12000,0.2154,0.1572
12600,0.2331,0.1623
13200,0.2585,0.1724
13800,0.2827,0.1813
14400,0.3052,0.1920
15000,0.3276,0.2048
15600,0.3593,0.2091
16200,0.3846,0.2127
16800,0.4112,0.2193
17400,0.4422,0.2227
18000,0.4694,0.2269
18600,0.4987,0.2354
19200,0.5302,0.2389
19800,0.5649,0.2379
20400,0.5908,0.2332
21000,0.6177,0.2329
21600,0.6472,0.2275
22200,0.6750,0.2267
22800,0.7013,0.2251
23400,0.7221,0.2241
24000,0.7459,0.2199
24600,0.7671,0.2171
25200,0.7877,0.2150
25800,0.8065,0.2121
26400,0.8225,0.2077
27000,0.8374,0.2020
27600,0.8495,0.1949
28200,0.8622,0.1828
28800,0.8735,0.1786
29400,0.8838,0.1732
30000,0.8991,0.1660
30600,0.9079,0.1639
31200,0.9155,0.1603
31800,0.9254,0.1537
32400,0.9318,0.1501
33000,0.9386,0.1447
33600,0.9434,0.1404
34200,0.9477,0.1372
34800,0.9517,0.1359
35400,0.9560,0.1325
36000,0.9596,0.1310
36600,0.9636,0.1296
37200,0.9663,0.1274
37800,0.9683,0.1268
38400,0.9706,0.1246
39000,0.9729,0.1224
39600,0.9743,0.1223
40200,0.9760,0.1203
40800,0.9763,0.1204
41400,0.9769,0.1183
42000,0.9794,0.1033
42600,0.9813,0.0968
43200,0.9819,0.0947
43800,0.9835,0.0883
44400,0.9847,0.0798
45000,0.9860,0.0732
45600,0.9863,0.0710
46200,0.9869,0.0668
46800,0.9886,0.0604
47400,0.9896,0.0583
48000,0.9902,0.0540
48600,0.9914,0.0455
49200,0.9920,0.0433
49800,0.9927,0.0391
50400,0.9936,0.0348
51000,0.9943,0.0324
51600,0.9947,0.0324
52200,0.9950,0.0302
52800,0.9953,0.0281
53400,0.9953,0.0281
54000,0.9959,0.0259
54600,0.9965,0.0217
55200,0.9972,0.0194
55800,0.9985,0.0108
56400,0.9985,0.0108
57000,0.9988,0.0086
57600,0.9988,0.0086
58200,0.9991,0.0065
58800,0.9994,0.0043
59400,0.9994,0.0043
60000,0.9994,0.0043
60600,0.9994,0.0043
61200,0.9994,0.0043
61800,0.9994,0.0043
62400,0.9994,0.0043
63000,0.9994,0.0043
63600,0.9994,0.0043
64200,0.9997,0.0022
64800,0.9997,0.0022
65400,0.9997,0.0022
66000,0.9997,0.0022
66600,0.9997,0.0022
67200,0.9997,0.0022
67800,1.0000,0.0000
