type,susceptibility,time,mean infection rate,std. dev
bsa-base,0.2,0,0.0502,0.0121
bsa-base,0.2,600,0.0537,0.0168
bsa-base,0.2,1200,0.0609,0.0258
bsa-base,0.2,1800,0.0675,0.0321
bsa-base,0.2,2400,0.0723,0.0399
bsa-base,0.2,3000,0.0784,0.0477
bsa-base,0.2,3600,0.0843,0.0515
bsa-base,0.2,4200,0.0914,0.0590
bsa-base,0.2,4800,0.1009,0.0660
bsa-base,0.2,5400,0.1052,0.0697
bsa-base,0.2,6000,0.1177,0.0785
bsa-base,0.2,6600,0.1268,0.0880
bsa-base,0.2,7200,0.1381,0.0980
bsa-base,0.2,7800,0.1468,0.1034
bsa-base,0.2,8400,0.1574,0.1137
bsa-base,0.2,9000,0.1683,0.1252
bsa-base,0.2,9600,0.1823,0.1344
bsa-base,0.2,10200,0.1908,0.1405
bsa-base,0.2,10800,0.2014,0.1465
bsa-base,0.2,11400,0.2137,0.1551
bsa-base,0.2,12000,0.2300,0.1709
bsa-base,0.2,12600,0.2421,0.1790
bsa-base,0.2,13200,0.2536,0.1847
bsa-base,0.2,13800,0.2716,0.1944
bsa-base,0.2,14400,0.2888,0.2012
bsa-base,0.2,15000,0.3029,0.2074
bsa-base,0.2,15600,0.3143,0.2131
bsa-base,0.2,16200,0.3315,0.2218
bsa-base,0.2,16800,0.3447,0.2290
bsa-base,0.2,17400,0.3597,0.2349
bsa-base,0.2,18000,0.3783,0.2414
bsa-base,0.2,18600,0.3976,0.2487
bsa-base,0.2,19200,0.4075,0.2520
bsa-base,0.2,19800,0.4236,0.2626
bsa-base,0.2,20400,0.4435,0.2665
bsa-base,0.2,21000,0.4583,0.2678
bsa-base,0.2,21600,0.4793,0.2665
bsa-base,0.2,22200,0.4922,0.2727
bsa-base,0.2,22800,0.5089,0.2741
bsa-base,0.2,23400,0.5233,0.2735
bsa-base,0.2,24000,0.5389,0.2731
bsa-base,0.2,24600,0.5573,0.2751
bsa-base,0.2,25200,0.5747,0.2724
bsa-base,0.2,25800,0.5909,0.2718
bsa-base,0.2,26400,0.6076,0.2712
bsa-base,0.2,27000,0.6246,0.2718
bsa-base,0.2,27600,0.6370,0.2670
bsa-base,0.2,28200,0.6492,0.2612
bsa-base,0.2,28800,0.6644,0.2581
bsa-base,0.2,29400,0.6775,0.2568
bsa-base,0.2,30000,0.6873,0.2572
bsa-base,0.2,30600,0.7018,0.2542
bsa-base,0.2,31200,0.7134,0.2492
bsa-base,0.2,31800,0.7277,0.2418
bsa-base,0.2,32400,0.7378,0.2403
bsa-base,0.2,33000,0.7496,0.2334
bsa-base,0.2,33600,0.7598,0.2313
bsa-base,0.2,34200,0.7721,0.2279
bsa-base,0.2,34800,0.7860,0.2249
bsa-base,0.2,35400,0.7951,0.2187
bsa-base,0.2,36000,0.8064,0.2152
bsa-base,0.2,36600,0.8147,0.2098
bsa-base,0.2,37200,0.8218,0.2045
bsa-base,0.2,37800,0.8285,0.2008
bsa-base,0.2,38400,0.8358,0.1957
