step, mean infection rate, std. dev
0,0.0248,0.0033
600,0.0270,0.0089
1200,0.0283,0.0099
1800,0.0294,0.0106
2400,0.0321,0.0149
3000,0.0346,0.0185
3600,0.0376,0.0219
4200,0.0395,0.0216
4800,0.0425,0.0294
5400,0.0438,0.0295
6000,0.0443,0.0297
6600,0.0467,0.0310
7200,0.0500,0.0325
7800,0.0527,0.0366
8400,0.0560,0.0380
9000,0.0592,0.0419
9600,0.0632,0.0436
10200,0.0672,0.0487
10800,0.0692,0.0502
11400,0.0728,0.0548
12000,0.0766,0.0591
12600,0.0822,0.0646
13200,0.0871,0.0698
13800,0.0908,0.0720
14400,0.0974,0.0772
15000,0.1036,0.0865
15600,0.1089,0.0905
16200,0.1122,0.0955
16800,0.1165,0.0999
17400,0.1222,0.1065
18000,0.1303,0.1135
18600,0.1382,0.1196
19200,0.1429,0.1276
19800,0.1496,0.1315
20400,0.1562,0.1348
21000,0.1614,0.1415
21600,0.1664,0.1459
22200,0.1732,0.1505
22800,0.1821,0.1619
23400,0.1906,0.1661
24000,0.2028,0.1750
24600,0.2072,0.1765
25200,0.2131,0.1769
25800,0.2196,0.1814
26400,0.2311,0.1866
27000,0.2412,0.1924
27600,0.2512,0.1941
28200,0.2588,0.1975
28800,0.2686,0.2024
29400,0.2806,0.2019
30000,0.2918,0.2026
30600,0.3031,0.2110
31200,0.3155,0.2151
31800,0.3252,0.2222
32400,0.3371,0.2238
33000,0.3468,0.2292
33600,0.3589,0.2293
34200,0.3703,0.2307
34800,0.3812,0.2319
35400,0.3908,0.2333
36000,0.4022,0.2328
36600,0.4146,0.2343
37200,0.4261,0.2330
37800,0.4383,0.2350
38400,0.4454,0.2342
39000,0.4546,0.2335
39600,0.4658,0.2331
40200,0.4791,0.2384
40800,0.4928,0.2390
41400,0.5081,0.2395
42000,0.5172,0.2391
42600,0.5314,0.2368
43200,0.5406,0.2391
43800,0.5487,0.2410
44400,0.5593,0.2400
45000,0.5707,0.2418
45600,0.5841,0.2451
46200,0.5971,0.2416
46800,0.6069,0.2370
47400,0.6215,0.2367
48000,0.6318,0.2307
48600,0.6434,0.2273
49200,0.6511,0.2236
49800,0.6596,0.2261
50400,0.6685,0.2269
51000,0.6780,0.2242
51600,0.6912,0.2195
52200,0.7014,0.2163
52800,0.7098,0.2170
53400,0.7198,0.2138
54000,0.7285,0.2125
