step, mean infection rate, std. dev
0,0.0248,0.0033
600,0.0290,0.0118
1200,0.0364,0.0195
1800,0.0446,0.0256
2400,0.0506,0.0391
3000,0.0584,0.0475
3600,0.0652,0.0493
4200,0.0783,0.0650
4800,0.0906,0.0742
5400,0.1041,0.0834
6000,0.1230,0.0967
6600,0.1416,0.1129
7200,0.1603,0.1246
7800,0.1793,0.1403
8400,0.2039,0.1503
9000,0.2237,0.1644
9600,0.2501,0.1741
10200,0.2766,0.1847
10800,0.3093,0.1973
11400,0.3469,0.2120
12000,0.3761,0.2201
12600,0.4039,0.2258
13200,0.4369,0.2334
13800,0.4732,0.2326
14400,0.5003,0.2342
15000,0.5324,0.2367
15600,0.5590,0.2446
16200,0.5911,0.2484
16800,0.6246,0.2559
17400,0.6531,0.2586
18000,0.6878,0.2561
18600,0.7101,0.2471
19200,0.7369,0.2400
19800,0.7580,0.2307
20400,0.7784,0.2211
21000,0.7995,0.2149
21600,0.8170,0.2094
22200,0.8326,0.1974
22800,0.8471,0.1875
23400,0.8623,0.1736
24000,0.8775,0.1640
24600,0.8884,0.1508
25200,0.9029,0.1351
25800,0.9113,0.1270
26400,0.9227,0.1129
27000,0.9322,0.0964
27600,0.9437,0.0817
28200,0.9525,0.0728
28800,0.9593,0.0658
29400,0.9655,0.0585
30000,0.9698,0.0526
30600,0.9730,0.0464
31200,0.9776,0.0399
31800,0.9792,0.0375
32400,0.9813,0.0332
33000,0.9837,0.0313
33600,0.9859,0.0287
34200,0.9870,0.0262
34800,0.9912,0.0200
35400,0.9917,0.0199
36000,0.9924,0.0176
36600,0.9947,0.0127
37200,0.9969,0.0084
37800,0.9969,0.0084
38400,0.9974,0.0079
39000,0.9979,0.0071
39600,0.9979,0.0071
40200,0.9979,0.0071
40800,0.9989,0.0053
41400,0.9989,0.0053
42000,0.9989,0.0053
42600,0.9989,0.0053
43200,0.9989,0.0053
43800,0.9994,0.0040
44400,0.9994,0.0040
45000,0.9994,0.0040
45600,0.9994,0.0040
46200,0.9994,0.0040
46800,0.9994,0.0040
47400,0.9994,0.0040
48000,1.0000,0.0000
