step, mean infection rate, std. dev
0,0.0100,0.0000
600,0.0130,0.0050
1200,0.0156,0.0085
1800,0.0178,0.0117
2400,0.0196,0.0139
3000,0.0226,0.0159
3600,0.0250,0.0169
4200,0.0292,0.0205
4800,0.0346,0.0256
5400,0.0378,0.0271
6000,0.0436,0.0309
6600,0.0516,0.0397
7200,0.0574,0.0461
7800,0.0658,0.0532
8400,0.0762,0.0625
9000,0.0882,0.0707
9600,0.1042,0.0820
10200,0.1180,0.0935
10800,0.1342,0.1038
11400,0.1510,0.1181
12000,0.1706,0.1297
12600,0.1938,0.1398
13200,0.2152,0.1529
13800,0.2332,0.1608
14400,0.2576,0.1717
15000,0.2842,0.1880
15600,0.3076,0.1990
16200,0.3360,0.2080
16800,0.3570,0.2163
17400,0.3830,0.2230
18000,0.4114,0.2317
18600,0.4414,0.2343
19200,0.4716,0.2388
19800,0.4994,0.2432
20400,0.5252,0.2466
21000,0.5550,0.2486
21600,0.5806,0.2498
22200,0.6042,0.2533
22800,0.6326,0.2492
23400,0.6526,0.2446
24000,0.6774,0.2367
24600,0.6978,0.2341
25200,0.7216,0.2269
25800,0.7422,0.2192
26400,0.7610,0.2138
27000,0.7824,0.2065
27600,0.8012,0.1960
28200,0.8164,0.1863
28800,0.8316,0.1734
29400,0.8492,0.1626
30000,0.8624,0.1520
30600,0.8754,0.1426
31200,0.8894,0.1333
31800,0.9000,0.1245
32400,0.9106,0.1145
33000,0.9206,0.1035
33600,0.9266,0.0986
34200,0.9352,0.0899
34800,0.9418,0.0824
35400,0.9484,0.0748
36000,0.9548,0.0674
36600,0.9608,0.0570
37200,0.9646,0.0513
37800,0.9680,0.0468
38400,0.9724,0.0388
39000,0.9772,0.0317
39600,0.9804,0.0279
40200,0.9836,0.0257
40800,0.9860,0.0214
41400,0.9870,0.0203
42000,0.9890,0.0178
42600,0.9902,0.0158
43200,0.9920,0.0147
43800,0.9926,0.0134
44400,0.9934,0.0124
45000,0.9944,0.0106
45600,0.9952,0.0090
46200,0.9960,0.0077
46800,0.9962,0.0072
47400,0.9966,0.0071
48000,0.9966,0.0071
48600,0.9972,0.0063
49200,0.9974,0.0063
49800,0.9978,0.0058
50400,0.9980,0.0057
51000,0.9988,0.0047
51600,0.9988,0.0047
52200,0.9990,0.0036
52800,0.9990,0.0036
53400,0.9990,0.0036
54000,0.9990,0.0036
54600,0.9990,0.0036
55200,0.9992,0.0034
55800,0.9994,0.0024
56400,0.9994,0.0024
57000,0.9996,0.0020
57600,0.9996,0.0020
58200,0.9996,0.0020
58800,0.9996,0.0020
59400,0.9998,0.0014
60000,0.9998,0.0014
60600,0.9998,0.0014
61200,1.0000,0.0000
