type,susceptibility,time,mean infection rate,std. dev
smooth-base,0.2,0,0.0494,0.0112
smooth-base,0.2,600,0.0544,0.0204
smooth-base,0.2,1200,0.0568,0.0225
smooth-base,0.2,1800,0.0583,0.0224
smooth-base,0.2,2400,0.0605,0.0247
smooth-base,0.2,3000,0.0632,0.0271
smooth-base,0.2,3600,0.0654,0.0304
smooth-base,0.2,4200,0.0654,0.0304
smooth-base,0.2,4800,0.0722,0.0385
smooth-base,0.2,5400,0.0779,0.0415
smooth-base,0.2,6000,0.0822,0.0463
smooth-base,0.2,6600,0.0832,0.0461
smooth-base,0.2,7200,0.0880,0.0473
smooth-base,0.2,7800,0.0925,0.0537
smooth-base,0.2,8400,0.0947,0.0554
smooth-base,0.2,9000,0.0966,0.0556
smooth-base,0.2,9600,0.1012,0.0627
smooth-base,0.2,10200,0.1041,0.0642
smooth-base,0.2,10800,0.1116,0.0761
smooth-base,0.2,11400,0.1168,0.0795
smooth-base,0.2,12000,0.1202,0.0787
smooth-base,0.2,12600,0.1247,0.0802
smooth-base,0.2,13200,0.1280,0.0828
smooth-base,0.2,13800,0.1373,0.0913
smooth-base,0.2,14400,0.1459,0.0957
smooth-base,0.2,15000,0.1498,0.0976
smooth-base,0.2,15600,0.1570,0.1008
smooth-base,0.2,16200,0.1636,0.1043
smooth-base,0.2,16800,0.1705,0.1110
smooth-base,0.2,17400,0.1779,0.1154
smooth-base,0.2,18000,0.1841,0.1211
smooth-base,0.2,18600,0.1913,0.1223
smooth-base,0.2,19200,0.1986,0.1285
smooth-base,0.2,19800,0.2060,0.1327
smooth-base,0.2,20400,0.2112,0.1368
smooth-base,0.2,21000,0.2217,0.1465
smooth-base,0.2,21600,0.2275,0.1503
smooth-base,0.2,22200,0.2334,0.1539
smooth-base,0.2,22800,0.2382,0.1582
smooth-base,0.2,23400,0.2455,0.1626
smooth-base,0.2,24000,0.2535,0.1652
smooth-base,0.2,24600,0.2566,0.1659
smooth-base,0.2,25200,0.2709,0.1657
smooth-base,0.2,25800,0.2828,0.1736
smooth-base,0.2,26400,0.2935,0.1816
smooth-base,0.2,27000,0.3042,0.1808
smooth-base,0.2,27600,0.3164,0.1883
smooth-base,0.2,28200,0.3212,0.1923
smooth-base,0.2,28800,0.3335,0.1992
smooth-base,0.2,29400,0.3446,0.2038
smooth-base,0.2,30000,0.3508,0.2067
smooth-base,0.2,30600,0.3607,0.2096
smooth-base,0.2,31200,0.3648,0.2106
smooth-base,0.2,31800,0.3780,0.2119
smooth-base,0.2,32400,0.3835,0.2159
smooth-base,0.2,33000,0.3895,0.2172
smooth-base,0.2,33600,0.4000,0.2211
smooth-base,0.2,34200,0.4083,0.2266
smooth-base,0.2,34800,0.4165,0.2291
smooth-base,0.2,35400,0.4254,0.2282
smooth-base,0.2,36000,0.4371,0.2368
smooth-base,0.2,36600,0.4440,0.2387
smooth-base,0.2,37200,0.4481,0.2420
smooth-base,0.2,37800,0.4539,0.2411
smooth-base,0.2,38400,0.4645,0.2411
smooth-base,0.2,39000,0.4748,0.2366
smooth-base,0.2,39600,0.4826,0.2360
smooth-base,0.2,40200,0.4871,0.2363
smooth-base,0.2,40800,0.4968,0.2355
smooth-base,0.2,41400,0.5050,0.2347
smooth-base,0.2,42000,0.5207,0.2344
smooth-base,0.2,42600,0.5279,0.2410
smooth-base,0.2,43200,0.5365,0.2437
smooth-base,0.2,43800,0.5438,0.2445
smooth-base,0.2,44400,0.5503,0.2432
smooth-base,0.2,45000,0.5589,0.2438
smooth-base,0.2,45600,0.5657,0.2458
smooth-base,0.2,46200,0.5771,0.2407
smooth-base,0.2,46800,0.5838,0.2413
smooth-base,0.2,47400,0.5984,0.2421
smooth-base,0.2,48000,0.6085,0.2457
smooth-base,0.2,48600,0.6166,0.2452
smooth-base,0.2,49200,0.6243,0.2422
smooth-base,0.2,49800,0.6300,0.2366
smooth-base,0.2,50400,0.6350,0.2375
smooth-base,0.2,51000,0.6466,0.2367
smooth-base,0.2,51600,0.6499,0.2370
smooth-base,0.2,52200,0.6617,0.2351
smooth-base,0.2,52800,0.6656,0.2333
smooth-base,0.2,53400,0.6708,0.2345
smooth-base,0.2,54000,0.6755,0.2359
smooth-base,0.2,54600,0.6815,0.2378
smooth-base,0.2,55200,0.6900,0.2375
smooth-base,0.2,55800,0.6941,0.2365
smooth-base,0.2,56400,0.7049,0.2366
smooth-base,0.2,57000,0.7085,0.2347
smooth-base,0.2,57600,0.7120,0.2359
smooth-base,0.2,58200,0.7192,0.2333
smooth-base,0.2,58800,0.7265,0.2301
smooth-base,0.2,59400,0.7326,0.2268
smooth-base,0.2,60000,0.7373,0.2264
smooth-base,0.2,60600,0.7443,0.2250
smooth-base,0.2,61200,0.7508,0.2187
smooth-base,0.2,61800,0.7597,0.2194
smooth-base,0.2,62400,0.7634,0.2177
smooth-base,0.2,63000,0.7698,0.2164
smooth-base,0.2,63600,0.7773,0.2162
