step, mean infection rate, std. dev
0,0.0100,0.0000
600,0.0110,0.0030
1200,0.0120,0.0040
1800,0.0132,0.0058
2400,0.0152,0.0081
3000,0.0166,0.0097
3600,0.0200,0.0125
4200,0.0212,0.0129
4800,0.0230,0.0154
5400,0.0266,0.0196
6000,0.0292,0.0232
6600,0.0314,0.0242
7200,0.0344,0.0276
7800,0.0374,0.0311
8400,0.0412,0.0357
9000,0.0454,0.0383
9600,0.0498,0.0433
10200,0.0544,0.0506
10800,0.0612,0.0536
11400,0.0672,0.0583
12000,0.0736,0.0641
12600,0.0796,0.0698
13200,0.0848,0.0733
13800,0.0926,0.0807
14400,0.1022,0.0905
15000,0.1120,0.0988
15600,0.1236,0.1065
16200,0.1346,0.1135
16800,0.1470,0.1226
17400,0.1590,0.1305
18000,0.1704,0.1392
18600,0.1836,0.1474
19200,0.1990,0.1536
19800,0.2136,0.1607
20400,0.2284,0.1686
21000,0.2462,0.1799
21600,0.2630,0.1881
22200,0.2814,0.1944
22800,0.2984,0.2013
23400,0.3172,0.2050
24000,0.3312,0.2100
24600,0.3488,0.2167
25200,0.3672,0.2218
25800,0.3860,0.2240
26400,0.4132,0.2301
27000,0.4358,0.2349
27600,0.4540,0.2382
28200,0.4740,0.2386
28800,0.4928,0.2439
29400,0.5152,0.2456
30000,0.5342,0.2486
30600,0.5554,0.2464
31200,0.5788,0.2458
31800,0.5952,0.2443
32400,0.6140,0.2416
33000,0.6330,0.2425
33600,0.6546,0.2420
34200,0.6702,0.2377
34800,0.6882,0.2352
35400,0.7044,0.2315
36000,0.7204,0.2259
36600,0.7374,0.2214
37200,0.7514,0.2183
37800,0.7630,0.2161
38400,0.7768,0.2133
39000,0.7922,0.2089
39600,0.8038,0.2059
40200,0.8144,0.2008
40800,0.8266,0.1991
41400,0.8378,0.1953
42000,0.8484,0.1895
42600,0.8570,0.1858
43200,0.8658,0.1812
43800,0.8740,0.1775
44400,0.8840,0.1722
45000,0.8904,0.1676
45600,0.8974,0.1631
46200,0.9036,0.1550
46800,0.9106,0.1529
47400,0.9150,0.1508
48000,0.9210,0.1445
48600,0.9272,0.1330
49200,0.9314,0.1276
49800,0.9372,0.1200
50400,0.9406,0.1180
51000,0.9444,0.1110
51600,0.9488,0.1042
52200,0.9532,0.0986
52800,0.9564,0.0954
53400,0.9596,0.0916
54000,0.9636,0.0846
54600,0.9674,0.0776
55200,0.9722,0.0719
55800,0.9732,0.0693
56400,0.9754,0.0625
57000,0.9778,0.0584
57600,0.9794,0.0571
58200,0.9814,0.0515
58800,0.9828,0.0487
59400,0.9850,0.0420
60000,0.9862,0.0386
60600,0.9874,0.0349
61200,0.9894,0.0305
61800,0.9902,0.0289
62400,0.9906,0.0273
63000,0.9912,0.0250
63600,0.9924,0.0221
64200,0.9932,0.0196
64800,0.9940,0.0164
65400,0.9944,0.0164
66000,0.9952,0.0139
66600,0.9956,0.0122
67200,0.9958,0.0115
67800,0.9964,0.0102
68400,0.9970,0.0088
69000,0.9974,0.0082
69600,0.9974,0.0082
70200,0.9978,0.0070
70800,0.9982,0.0055
71400,0.9984,0.0046
72000,0.9986,0.0045
72600,0.9986,0.0045
73200,0.9988,0.0043
73800,0.9988,0.0043
74400,0.9988,0.0043
75000,0.9990,0.0041
75600,0.9990,0.0041
76200,0.9990,0.0041
76800,0.9992,0.0034
77400,0.9994,0.0024
78000,0.9996,0.0020
78600,0.9996,0.0020
79200,0.9996,0.0020
79800,0.9998,0.0014
80400,0.9998,0.0014
81000,0.9998,0.0014
81600,1.0000,0.0000
