step, mean infection rate, std. dev
0,0.0100,0.0000
600,0.0150,0.0075
1200,0.0200,0.0130
1800,0.0236,0.0167
2400,0.0278,0.0211
3000,0.0360,0.0278
3600,0.0444,0.0353
4200,0.0548,0.0480
4800,0.0644,0.0556
5400,0.0778,0.0674
6000,0.0926,0.0768
6600,0.1088,0.0889
7200,0.1304,0.1059
7800,0.1564,0.1229
8400,0.1832,0.1435
9000,0.2140,0.1609
9600,0.2468,0.1745
10200,0.2838,0.1909
10800,0.3202,0.2040
11400,0.3620,0.2142
12000,0.4036,0.2304
12600,0.4458,0.2382
13200,0.4872,0.2399
13800,0.5266,0.2379
14400,0.5698,0.2325
15000,0.6080,0.2332
15600,0.6454,0.2234
16200,0.6872,0.2166
16800,0.7248,0.2070
17400,0.7572,0.1942
18000,0.7846,0.1796
18600,0.8138,0.1676
19200,0.8356,0.1554
19800,0.8594,0.1358
20400,0.8826,0.1201
21000,0.8998,0.1077
21600,0.9146,0.0971
22200,0.9296,0.0848
22800,0.9422,0.0756
23400,0.9508,0.0688
24000,0.9590,0.0605
24600,0.9656,0.0510
25200,0.9700,0.0430
25800,0.9750,0.0379
26400,0.9808,0.0323
27000,0.9834,0.0301
27600,0.9880,0.0231
28200,0.9902,0.0181
28800,0.9922,0.0159
29400,0.9940,0.0118
30000,0.9948,0.0104
30600,0.9960,0.0098
31200,0.9972,0.0063
31800,0.9976,0.0051
32400,0.9982,0.0043
33000,0.9984,0.0037
33600,0.9988,0.0032
34200,0.9990,0.0030
34800,0.9992,0.0027
35400,0.9994,0.0024
36000,0.9998,0.0014
36600,0.9998,0.0014
37200,0.9998,0.0014
37800,1.0000,0.0000
