step, mean infection rate, std. dev
0,0.0100,0.0000
600,0.0130,0.0054
1200,0.0148,0.0067
1800,0.0178,0.0099
2400,0.0216,0.0153
3000,0.0242,0.0179
3600,0.0270,0.0215
4200,0.0310,0.0251
4800,0.0358,0.0277
5400,0.0412,0.0318
6000,0.0470,0.0365
6600,0.0532,0.0422
7200,0.0604,0.0495
7800,0.0670,0.0560
8400,0.0760,0.0619
9000,0.0846,0.0693
9600,0.0930,0.0768
10200,0.1032,0.0847
10800,0.1158,0.0925
11400,0.1288,0.1006
12000,0.1402,0.1073
12600,0.1546,0.1169
13200,0.1682,0.1282
13800,0.1846,0.1373
14400,0.2000,0.1494
15000,0.2158,0.1584
15600,0.2352,0.1727
16200,0.2524,0.1803
16800,0.2718,0.1915
17400,0.2904,0.2007
18000,0.3114,0.2089
18600,0.3312,0.2147
19200,0.3506,0.2207
19800,0.3738,0.2283
20400,0.3908,0.2348
21000,0.4100,0.2413
21600,0.4336,0.2467
22200,0.4584,0.2509
22800,0.4778,0.2537
23400,0.4990,0.2571
24000,0.5188,0.2576
24600,0.5416,0.2595
25200,0.5610,0.2609
25800,0.5850,0.2614
26400,0.6042,0.2600
27000,0.6232,0.2595
27600,0.6424,0.2597
28200,0.6582,0.2608
28800,0.6696,0.2610
29400,0.6894,0.2591
30000,0.7018,0.2596
30600,0.7186,0.2578
31200,0.7328,0.2545
31800,0.7450,0.2513
32400,0.7576,0.2461
33000,0.7712,0.2447
33600,0.7802,0.2393
34200,0.7902,0.2344
34800,0.8012,0.2309
35400,0.8134,0.2230
36000,0.8252,0.2214
36600,0.8328,0.2197
37200,0.8414,0.2147
37800,0.8508,0.2097
38400,0.8596,0.2043
39000,0.8662,0.1988
39600,0.8744,0.1928
40200,0.8844,0.1866
40800,0.8886,0.1823
41400,0.8952,0.1727
42000,0.9016,0.1629
42600,0.9100,0.1532
43200,0.9180,0.1414
43800,0.9236,0.1339
44400,0.9302,0.1255
45000,0.9356,0.1211
45600,0.9418,0.1098
46200,0.9464,0.1035
46800,0.9502,0.0970
47400,0.9540,0.0887
48000,0.9572,0.0813
48600,0.9596,0.0788
49200,0.9632,0.0723
49800,0.9680,0.0633
50400,0.9700,0.0587
51000,0.9742,0.0514
51600,0.9770,0.0464
52200,0.9790,0.0415
52800,0.9804,0.0389
53400,0.9816,0.0359
54000,0.9834,0.0347
54600,0.9854,0.0303
55200,0.9864,0.0285
55800,0.9864,0.0285
56400,0.9882,0.0243
57000,0.9888,0.0238
57600,0.9890,0.0228
58200,0.9896,0.0220
58800,0.9912,0.0200
59400,0.9918,0.0186
60000,0.9922,0.0185
60600,0.9924,0.0178
61200,0.9924,0.0178
61800,0.9934,0.0158
62400,0.9942,0.0125
63000,0.9946,0.0110
63600,0.9952,0.0096
64200,0.9954,0.0092
64800,0.9958,0.0080
65400,0.9960,0.0077
66000,0.9964,0.0074
66600,0.9970,0.0061
67200,0.9972,0.0057
67800,0.9972,0.0057
68400,0.9972,0.0057
69000,0.9978,0.0046
69600,0.9978,0.0046
70200,0.9978,0.0046
70800,0.9982,0.0038
71400,0.9984,0.0037
72000,0.9984,0.0037
72600,0.9986,0.0035
73200,0.9986,0.0035
73800,0.9986,0.0035
74400,0.9986,0.0035
75000,0.9986,0.0035
75600,0.9988,0.0032
76200,0.9988,0.0032
76800,0.9988,0.0032
77400,0.9988,0.0032
78000,0.9990,0.0030
78600,0.9994,0.0024
79200,0.9994,0.0024
79800,0.9994,0.0024
80400,0.9996,0.0020
81000,0.9996,0.0020
81600,0.9998,0.0014
82200,0.9998,0.0014
82800,1.0000,0.0000
