type,susceptibility,time,mean infection rate,std. dev
advanced,0.2,0,0.0494,0.0112
advanced,0.2,600,0.0513,0.0150
advanced,0.2,1200,0.0554,0.0253
advanced,0.2,1800,0.0570,0.0267
advanced,0.2,2400,0.0596,0.0277
advanced,0.2,3000,0.0604,0.0277
advanced,0.2,3600,0.0623,0.0315
advanced,0.2,4200,0.0654,0.0322
advanced,0.2,4800,0.0679,0.0331
advanced,0.2,5400,0.0702,0.0343
advanced,0.2,6000,0.0740,0.0363
advanced,0.2,6600,0.0749,0.0362
advanced,0.2,7200,0.0767,0.0359
advanced,0.2,7800,0.0780,0.0390
advanced,0.2,8400,0.0790,0.0411
advanced,0.2,9000,0.0816,0.0403
advanced,0.2,9600,0.0816,0.0403
advanced,0.2,10200,0.0833,0.0436
advanced,0.2,10800,0.0877,0.0482
advanced,0.2,11400,0.0920,0.0516
advanced,0.2,12000,0.0940,0.0530
advanced,0.2,12600,0.0968,0.0566
advanced,0.2,13200,0.0979,0.0585
advanced,0.2,13800,0.1012,0.0661
advanced,0.2,14400,0.1030,0.0673
advanced,0.2,15000,0.1037,0.0672
advanced,0.2,15600,0.1091,0.0738
advanced,0.2,16200,0.1091,0.0738
advanced,0.2,16800,0.1126,0.0747
advanced,0.2,17400,0.1162,0.0771
advanced,0.2,18000,0.1193,0.0795
advanced,0.2,18600,0.1214,0.0829
advanced,0.2,19200,0.1289,0.0869
advanced,0.2,19800,0.1317,0.0859
advanced,0.2,20400,0.1340,0.0871
advanced,0.2,21000,0.1402,0.0895
advanced,0.2,21600,0.1451,0.0945
advanced,0.2,22200,0.1477,0.0965
advanced,0.2,22800,0.1496,0.0962
advanced,0.2,23400,0.1496,0.0962
advanced,0.2,24000,0.1534,0.1029
advanced,0.2,24600,0.1574,0.1047
advanced,0.2,25200,0.1605,0.1067
advanced,0.2,25800,0.1645,0.1089
advanced,0.2,26400,0.1675,0.1137
advanced,0.2,27000,0.1707,0.1174
advanced,0.2,27600,0.1739,0.1181
advanced,0.2,28200,0.1781,0.1205
advanced,0.2,28800,0.1824,0.1232
advanced,0.2,29400,0.1833,0.1243
advanced,0.2,30000,0.1852,0.1249
advanced,0.2,30600,0.1904,0.1268
advanced,0.2,31200,0.1922,0.1295
advanced,0.2,31800,0.1935,0.1295
advanced,0.2,32400,0.1986,0.1340
advanced,0.2,33000,0.2008,0.1361
advanced,0.2,33600,0.2051,0.1380
advanced,0.2,34200,0.2074,0.1397
advanced,0.2,34800,0.2106,0.1431
advanced,0.2,35400,0.2138,0.1451
advanced,0.2,36000,0.2147,0.1462
advanced,0.2,36600,0.2204,0.1497
advanced,0.2,37200,0.2261,0.1526
advanced,0.2,37800,0.2287,0.1529
advanced,0.2,38400,0.2297,0.1532
advanced,0.2,39000,0.2338,0.1554
advanced,0.2,39600,0.2385,0.1627
advanced,0.2,40200,0.2432,0.1624
advanced,0.2,40800,0.2481,0.1654
advanced,0.2,41400,0.2521,0.1674
advanced,0.2,42000,0.2575,0.1682
advanced,0.2,42600,0.2609,0.1717
advanced,0.2,43200,0.2632,0.1746
advanced,0.2,43800,0.2676,0.1762
advanced,0.2,44400,0.2704,0.1788
advanced,0.2,45000,0.2754,0.1812
advanced,0.2,45600,0.2806,0.1866
advanced,0.2,46200,0.2868,0.1916
advanced,0.2,46800,0.2949,0.1959
advanced,0.2,47400,0.2992,0.1996
advanced,0.2,48000,0.3063,0.1985
advanced,0.2,48600,0.3108,0.1991
advanced,0.2,49200,0.3118,0.2003
advanced,0.2,49800,0.3210,0.2010
advanced,0.2,50400,0.3249,0.2038
advanced,0.2,51000,0.3331,0.2051
advanced,0.2,51600,0.3384,0.2104
advanced,0.2,52200,0.3407,0.2112
advanced,0.2,52800,0.3468,0.2145
advanced,0.2,53400,0.3510,0.2169
advanced,0.2,54000,0.3559,0.2187
advanced,0.2,54600,0.3598,0.2196
advanced,0.2,55200,0.3621,0.2212
advanced,0.2,55800,0.3670,0.2239
advanced,0.2,56400,0.3724,0.2302
advanced,0.2,57000,0.3801,0.2338
advanced,0.2,57600,0.3811,0.2327
advanced,0.2,58200,0.3866,0.2350
advanced,0.2,58800,0.3938,0.2434
advanced,0.2,59400,0.3962,0.2435
advanced,0.2,60000,0.4005,0.2445
advanced,0.2,60600,0.4042,0.2454
advanced,0.2,61200,0.4086,0.2466
advanced,0.2,61800,0.4130,0.2481
advanced,0.2,62400,0.4200,0.2496
advanced,0.2,63000,0.4234,0.2510
advanced,0.2,63600,0.4284,0.2525
advanced,0.2,64200,0.4333,0.2510
advanced,0.2,64800,0.4375,0.2526
advanced,0.2,65400,0.4429,0.2557
advanced,0.2,66000,0.4484,0.2560
advanced,0.2,66600,0.4554,0.2584
advanced,0.2,67200,0.4562,0.2597
advanced,0.2,67800,0.4624,0.2614
advanced,0.2,68400,0.4649,0.2629
advanced,0.2,69000,0.4666,0.2637
advanced,0.2,69600,0.4709,0.2657
advanced,0.2,70200,0.4775,0.2654
advanced,0.2,70800,0.4799,0.2635
advanced,0.2,71400,0.4827,0.2645
advanced,0.2,72000,0.4851,0.2651
advanced,0.2,72600,0.4868,0.2654
advanced,0.2,73200,0.4903,0.2658
advanced,0.2,73800,0.4931,0.2676
advanced,0.2,74400,0.4946,0.2695
advanced,0.2,75000,0.4978,0.2698
advanced,0.2,75600,0.4984,0.2709
advanced,0.2,76200,0.5027,0.2704
advanced,0.2,76800,0.5069,0.2688
advanced,0.2,77400,0.5129,0.2705
advanced,0.2,78000,0.5197,0.2713
advanced,0.2,78600,0.5222,0.2705
advanced,0.2,79200,0.5248,0.2709
advanced,0.2,79800,0.5270,0.2713
advanced,0.2,80400,0.5286,0.2727
advanced,0.2,81000,0.5344,0.2745
advanced,0.2,81600,0.5394,0.2766
advanced,0.2,82200,0.5461,0.2748
advanced,0.2,82800,0.5503,0.2724
advanced,0.2,83400,0.5554,0.2758
advanced,0.2,84000,0.5581,0.2764
advanced,0.2,84600,0.5626,0.2752
advanced,0.2,85200,0.5662,0.2750
advanced,0.2,85800,0.5713,0.2751
advanced,0.2,86400,0.5771,0.2764
advanced,0.2,87000,0.5802,0.2758
advanced,0.2,87600,0.5912,0.2787
advanced,0.2,88200,0.5965,0.2798
advanced,0.2,88800,0.6000,0.2786
advanced,0.2,89400,0.6007,0.2792
advanced,0.2,90000,0.6037,0.2800
advanced,0.2,90600,0.6081,0.2819
advanced,0.2,91200,0.6129,0.2820
advanced,0.2,91800,0.6183,0.2822
advanced,0.2,92400,0.6220,0.2825
advanced,0.2,93000,0.6250,0.2835
advanced,0.2,93600,0.6293,0.2839
advanced,0.2,94200,0.6293,0.2839
advanced,0.2,94800,0.6311,0.2841
advanced,0.2,95400,0.6349,0.2846
advanced,0.2,96000,0.6377,0.2849
advanced,0.2,96600,0.6397,0.2861
advanced,0.2,97200,0.6423,0.2873
advanced,0.2,97800,0.6444,0.2859
advanced,0.2,98400,0.6493,0.2855
advanced,0.2,99000,0.6556,0.2853
advanced,0.2,99600,0.6556,0.2853
advanced,0.2,100200,0.6573,0.2857
advanced,0.2,100800,0.6624,0.2862
advanced,0.2,101400,0.6647,0.2874
advanced,0.2,102000,0.6685,0.2881
advanced,0.2,102600,0.6731,0.2886
advanced,0.2,103200,0.6749,0.2886
advanced,0.2,103800,0.6772,0.2899
advanced,0.2,104400,0.6825,0.2920
advanced,0.2,105000,0.6877,0.2907
advanced,0.2,105600,0.6938,0.2865
advanced,0.2,106200,0.6972,0.2848
advanced,0.2,106800,0.6979,0.2853
advanced,0.2,107400,0.7033,0.2848
advanced,0.2,108000,0.7033,0.2848
advanced,0.2,108600,0.7054,0.2840
advanced,0.2,109200,0.7081,0.2838
advanced,0.2,109800,0.7111,0.2842
advanced,0.2,110400,0.7138,0.2853
advanced,0.2,111000,0.7163,0.2868
advanced,0.2,111600,0.7179,0.2878
advanced,0.2,112200,0.7212,0.2884
advanced,0.2,112800,0.7231,0.2891
advanced,0.2,113400,0.7231,0.2891
advanced,0.2,114000,0.7260,0.2888
advanced,0.2,114600,0.7280,0.2879
advanced,0.2,115200,0.7311,0.2892
advanced,0.2,115800,0.7352,0.2871
advanced,0.2,116400,0.7409,0.2866
advanced,0.2,117000,0.7448,0.2870
advanced,0.2,117600,0.7473,0.2879
advanced,0.2,118200,0.7493,0.2878
advanced,0.2,118800,0.7510,0.2877
advanced,0.2,119400,0.7540,0.2876
advanced,0.2,120000,0.7580,0.2884
advanced,0.2,120600,0.7619,0.2871
advanced,0.2,121200,0.7658,0.2847
advanced,0.2,121800,0.7686,0.2850
advanced,0.2,122400,0.7709,0.2860
advanced,0.2,123000,0.7720,0.2835
advanced,0.2,123600,0.7735,0.2840
advanced,0.2,124200,0.7758,0.2842
advanced,0.2,124800,0.7772,0.2842
advanced,0.2,125400,0.7791,0.2829
advanced,0.2,126000,0.7816,0.2839
advanced,0.2,126600,0.7829,0.2845
advanced,0.2,127200,0.7855,0.2812
advanced,0.2,127800,0.7855,0.2812
advanced,0.2,128400,0.7867,0.2798
advanced,0.2,129000,0.7876,0.2802
advanced,0.2,129600,0.7895,0.2808
advanced,0.2,130200,0.7895,0.2808
advanced,0.2,130800,0.7905,0.2811
advanced,0.2,131400,0.7913,0.2817
advanced,0.2,132000,0.7933,0.2826
advanced,0.2,132600,0.7943,0.2826
advanced,0.2,133200,0.7943,0.2826
advanced,0.2,133800,0.7987,0.2825
advanced,0.2,134400,0.8016,0.2820
advanced,0.2,135000,0.8047,0.2808
advanced,0.2,135600,0.8074,0.2803
advanced,0.2,136200,0.8084,0.2791
advanced,0.2,136800,0.8084,0.2791
advanced,0.2,137400,0.8103,0.2794
advanced,0.2,138000,0.8103,0.2794
advanced,0.2,138600,0.8129,0.2800
advanced,0.2,139200,0.8129,0.2800
advanced,0.2,139800,0.8144,0.2769
advanced,0.2,140400,0.8144,0.2769
advanced,0.2,141000,0.8161,0.2775
advanced,0.2,141600,0.8170,0.2777
advanced,0.2,142200,0.8181,0.2777
advanced,0.2,142800,0.8191,0.2766
advanced,0.2,143400,0.8220,0.2777
advanced,0.2,144000,0.8239,0.2755
advanced,0.2,144600,0.8251,0.2739
advanced,0.2,145200,0.8281,0.2751
advanced,0.2,145800,0.8295,0.2743
advanced,0.2,146400,0.8295,0.2743
advanced,0.2,147000,0.8319,0.2744
advanced,0.2,147600,0.8329,0.2739
advanced,0.2,148200,0.8338,0.2744
advanced,0.2,148800,0.8338,0.2744
advanced,0.2,149400,0.8338,0.2744
advanced,0.2,150000,0.8338,0.2744
advanced,0.2,150600,0.8338,0.2744
advanced,0.2,151200,0.8353,0.2716
advanced,0.2,151800,0.8375,0.2705
advanced,0.2,152400,0.8420,0.2680
advanced,0.2,153000,0.8432,0.2667
advanced,0.2,153600,0.8432,0.2667
advanced,0.2,154200,0.8453,0.2644
advanced,0.2,154800,0.8476,0.2637
advanced,0.2,155400,0.8476,0.2637
advanced,0.2,156000,0.8497,0.2615
advanced,0.2,156600,0.8497,0.2615
advanced,0.2,157200,0.8537,0.2598
advanced,0.2,157800,0.8537,0.2598
advanced,0.2,158400,0.8557,0.2574
advanced,0.2,159000,0.8579,0.2539
advanced,0.2,159600,0.8579,0.2539
advanced,0.2,160200,0.8590,0.2527
advanced,0.2,160800,0.8612,0.2472
advanced,0.2,161400,0.8638,0.2422
advanced,0.2,162000,0.8658,0.2408
advanced,0.2,162600,0.8669,0.2406
advanced,0.2,163200,0.8680,0.2385
advanced,0.2,163800,0.8680,0.2385
advanced,0.2,164400,0.8704,0.2371
advanced,0.2,165000,0.8713,0.2362
advanced,0.2,165600,0.8713,0.2362
advanced,0.2,166200,0.8721,0.2364
advanced,0.2,166800,0.8743,0.2321
advanced,0.2,167400,0.8753,0.2325
advanced,0.2,168000,0.8753,0.2325
advanced,0.2,168600,0.8753,0.2325
advanced,0.2,169200,0.8763,0.2293
advanced,0.2,169800,0.8774,0.2264
advanced,0.2,170400,0.8774,0.2264
advanced,0.2,171000,0.8774,0.2264
advanced,0.2,171600,0.8797,0.2267
advanced,0.2,172200,0.8819,0.2241
advanced,0.2,172800,0.8819,0.2241
advanced,0.2,173400,0.8845,0.2222
advanced,0.2,174000,0.8855,0.2226
advanced,0.2,174600,0.8865,0.2203
advanced,0.2,175200,0.8886,0.2181
advanced,0.2,175800,0.8908,0.2171
advanced,0.2,176400,0.8917,0.2166
advanced,0.2,177000,0.8940,0.2136
advanced,0.2,177600,0.8952,0.2131
advanced,0.2,178200,0.8959,0.2134
advanced,0.2,178800,0.8959,0.2134
advanced,0.2,179400,0.8969,0.2137
advanced,0.2,180000,0.8978,0.2128
advanced,0.2,180600,0.8978,0.2128
advanced,0.2,181200,0.8993,0.2128
advanced,0.2,181800,0.8993,0.2128
advanced,0.2,182400,0.8993,0.2128
advanced,0.2,183000,0.9003,0.2108
advanced,0.2,183600,0.9019,0.2078
advanced,0.2,184200,0.9019,0.2078
advanced,0.2,184800,0.9028,0.2071
advanced,0.2,185400,0.9049,0.2037
advanced,0.2,186000,0.9060,0.2041
advanced,0.2,186600,0.9060,0.2041
advanced,0.2,187200,0.9060,0.2041
advanced,0.2,187800,0.9071,0.2020
advanced,0.2,188400,0.9081,0.2021
advanced,0.2,189000,0.9091,0.2024
advanced,0.2,189600,0.9103,0.2028
advanced,0.2,190200,0.9103,0.2028
advanced,0.2,190800,0.9103,0.2028
advanced,0.2,191400,0.9103,0.2028
advanced,0.2,192000,0.9113,0.2026
advanced,0.2,192600,0.9125,0.2012
advanced,0.2,193200,0.9145,0.1995
advanced,0.2,193800,0.9145,0.1995
advanced,0.2,194400,0.9167,0.1987
advanced,0.2,195000,0.9167,0.1987
advanced,0.2,195600,0.9187,0.1962
advanced,0.2,196200,0.9198,0.1946
advanced,0.2,196800,0.9208,0.1942
advanced,0.2,197400,0.9208,0.1942
advanced,0.2,198000,0.9215,0.1944
advanced,0.2,198600,0.9215,0.1944
advanced,0.2,199200,0.9215,0.1944
advanced,0.2,199800,0.9226,0.1931
advanced,0.2,200400,0.9226,0.1931
advanced,0.2,201000,0.9242,0.1903
advanced,0.2,201600,0.9242,0.1903
advanced,0.2,202200,0.9242,0.1903
advanced,0.2,202800,0.9242,0.1903
advanced,0.2,203400,0.9242,0.1903
advanced,0.2,204000,0.9242,0.1903
advanced,0.2,204600,0.9242,0.1903
advanced,0.2,205200,0.9253,0.1899
advanced,0.2,205800,0.9253,0.1899
advanced,0.2,206400,0.9253,0.1899
advanced,0.2,207000,0.9253,0.1899
advanced,0.2,207600,0.9253,0.1899
advanced,0.2,208200,0.9253,0.1899
advanced,0.2,208800,0.9264,0.1898
advanced,0.2,209400,0.9264,0.1898
advanced,0.2,210000,0.9264,0.1898
advanced,0.2,210600,0.9275,0.1888
advanced,0.2,211200,0.9285,0.1886
advanced,0.2,211800,0.9285,0.1886
advanced,0.2,212400,0.9296,0.1877
advanced,0.2,213000,0.9296,0.1877
advanced,0.2,213600,0.9296,0.1877
advanced,0.2,214200,0.9316,0.1877
advanced,0.2,214800,0.9316,0.1877
advanced,0.2,215400,0.9316,0.1877
advanced,0.2,216000,0.9340,0.1826
advanced,0.2,216600,0.9340,0.1826
advanced,0.2,217200,0.9340,0.1826
advanced,0.2,217800,0.9340,0.1826
advanced,0.2,218400,0.9350,0.1813
advanced,0.2,219000,0.9350,0.1813
advanced,0.2,219600,0.9350,0.1813
advanced,0.2,220200,0.9350,0.1813
advanced,0.2,220800,0.9350,0.1813
advanced,0.2,221400,0.9360,0.1812
advanced,0.2,222000,0.9375,0.1788
advanced,0.2,222600,0.9385,0.1788
advanced,0.2,223200,0.9385,0.1788
advanced,0.2,223800,0.9406,0.1769
advanced,0.2,224400,0.9447,0.1740
advanced,0.2,225000,0.9447,0.1740
advanced,0.2,225600,0.9458,0.1735
advanced,0.2,226200,0.9458,0.1735
advanced,0.2,226800,0.9458,0.1735
advanced,0.2,227400,0.9479,0.1683
advanced,0.2,228000,0.9479,0.1683
advanced,0.2,228600,0.9479,0.1683
advanced,0.2,229200,0.9491,0.1634
advanced,0.2,229800,0.9491,0.1634
advanced,0.2,230400,0.9491,0.1634
advanced,0.2,231000,0.9491,0.1634
advanced,0.2,231600,0.9491,0.1634
advanced,0.2,232200,0.9491,0.1634
advanced,0.2,232800,0.9491,0.1634
advanced,0.2,233400,0.9502,0.1632
advanced,0.2,234000,0.9512,0.1634
advanced,0.2,234600,0.9512,0.1634
advanced,0.2,235200,0.9512,0.1634
advanced,0.2,235800,0.9512,0.1634
advanced,0.2,236400,0.9512,0.1634
advanced,0.2,237000,0.9512,0.1634
advanced,0.2,237600,0.9512,0.1634
advanced,0.2,238200,0.9512,0.1634
advanced,0.2,238800,0.9512,0.1634
advanced,0.2,239400,0.9512,0.1634
advanced,0.2,240000,0.9512,0.1634
advanced,0.2,240600,0.9512,0.1634
advanced,0.2,241200,0.9523,0.1626
advanced,0.2,241800,0.9535,0.1580
advanced,0.2,242400,0.9547,0.1537
advanced,0.2,243000,0.9547,0.1537
advanced,0.2,243600,0.9547,0.1537
advanced,0.2,244200,0.9547,0.1537
advanced,0.2,244800,0.9559,0.1497
advanced,0.2,245400,0.9559,0.1497
advanced,0.2,246000,0.9559,0.1497
advanced,0.2,246600,0.9570,0.1498
advanced,0.2,247200,0.9570,0.1498
advanced,0.2,247800,0.9570,0.1498
advanced,0.2,248400,0.9570,0.1498
advanced,0.2,249000,0.9570,0.1498
advanced,0.2,249600,0.9570,0.1498
advanced,0.2,250200,0.9570,0.1498
advanced,0.2,250800,0.9570,0.1498
advanced,0.2,251400,0.9570,0.1498
advanced,0.2,252000,0.9570,0.1498
advanced,0.2,252600,0.9570,0.1498
advanced,0.2,253200,0.9570,0.1498
advanced,0.2,253800,0.9570,0.1498
advanced,0.2,254400,0.9570,0.1498
advanced,0.2,255000,0.9570,0.1498
advanced,0.2,255600,0.9580,0.1488
advanced,0.2,256200,0.9591,0.1482
advanced,0.2,256800,0.9591,0.1482
advanced,0.2,257400,0.9591,0.1482
advanced,0.2,258000,0.9591,0.1482
advanced,0.2,258600,0.9591,0.1482
advanced,0.2,259200,0.9591,0.1482
advanced,0.2,259800,0.9600,0.1483
advanced,0.2,260400,0.9612,0.1484
advanced,0.2,261000,0.9612,0.1484
advanced,0.2,261600,0.9612,0.1484
advanced,0.2,262200,0.9624,0.1480
advanced,0.2,262800,0.9638,0.1480
advanced,0.2,263400,0.9638,0.1480
advanced,0.2,264000,0.9638,0.1480
advanced,0.2,264600,0.9638,0.1480
advanced,0.2,265200,0.9638,0.1480
advanced,0.2,265800,0.9638,0.1480
advanced,0.2,266400,0.9649,0.1477
advanced,0.2,267000,0.9649,0.1477
advanced,0.2,267600,0.9649,0.1477
advanced,0.2,268200,0.9649,0.1477
advanced,0.2,268800,0.9649,0.1477
advanced,0.2,269400,0.9649,0.1477
advanced,0.2,270000,0.9658,0.1478
advanced,0.2,270600,0.9658,0.1478
advanced,0.2,271200,0.9674,0.1380
advanced,0.2,271800,0.9674,0.1380
advanced,0.2,272400,0.9686,0.1380
advanced,0.2,273000,0.9686,0.1380
advanced,0.2,273600,0.9686,0.1380
advanced,0.2,274200,0.9702,0.1370
advanced,0.2,274800,0.9702,0.1370
advanced,0.2,275400,0.9702,0.1370
advanced,0.2,276000,0.9702,0.1370
advanced,0.2,276600,0.9713,0.1329
advanced,0.2,277200,0.9713,0.1329
advanced,0.2,277800,0.9713,0.1329
advanced,0.2,278400,0.9713,0.1329
advanced,0.2,279000,0.9713,0.1329
advanced,0.2,279600,0.9713,0.1329
advanced,0.2,280200,0.9713,0.1329
advanced,0.2,280800,0.9713,0.1329
advanced,0.2,281400,0.9713,0.1329
advanced,0.2,282000,0.9713,0.1329
advanced,0.2,282600,0.9713,0.1329
advanced,0.2,283200,0.9713,0.1329
advanced,0.2,283800,0.9713,0.1329
advanced,0.2,284400,0.9713,0.1329
advanced,0.2,285000,0.9713,0.1329
advanced,0.2,285600,0.9713,0.1329
advanced,0.2,286200,0.9713,0.1329
advanced,0.2,286800,0.9713,0.1329
advanced,0.2,287400,0.9713,0.1329
advanced,0.2,288000,0.9713,0.1329
advanced,0.2,288600,0.9713,0.1329
advanced,0.2,289200,0.9713,0.1329
advanced,0.2,289800,0.9713,0.1329
advanced,0.2,290400,0.9713,0.1329
advanced,0.2,291000,0.9713,0.1329
advanced,0.2,291600,0.9713,0.1329
advanced,0.2,292200,0.9713,0.1329
advanced,0.2,292800,0.9730,0.1230
advanced,0.2,293400,0.9730,0.1230
advanced,0.2,294000,0.9730,0.1230
advanced,0.2,294600,0.9730,0.1230
advanced,0.2,295200,0.9742,0.1189
advanced,0.2,295800,0.9742,0.1189
advanced,0.2,296400,0.9764,0.1153
advanced,0.2,297000,0.9764,0.1153
advanced,0.2,297600,0.9764,0.1153
advanced,0.2,298200,0.9764,0.1153
advanced,0.2,298800,0.9764,0.1153
advanced,0.2,299400,0.9764,0.1153
advanced,0.2,300000,0.9764,0.1153
advanced,0.2,300600,0.9776,0.1122
advanced,0.2,301200,0.9776,0.1122
advanced,0.2,301800,0.9776,0.1122
advanced,0.2,302400,0.9776,0.1122
advanced,0.2,303000,0.9776,0.1122
advanced,0.2,303600,0.9788,0.1097
advanced,0.2,304200,0.9788,0.1097
advanced,0.2,304800,0.9788,0.1097
advanced,0.2,305400,0.9788,0.1097
advanced,0.2,306000,0.9788,0.1097
advanced,0.2,306600,0.9788,0.1097
advanced,0.2,307200,0.9788,0.1097
advanced,0.2,307800,0.9788,0.1097
advanced,0.2,308400,0.9788,0.1097
advanced,0.2,309000,0.9788,0.1097
advanced,0.2,309600,0.9788,0.1097
advanced,0.2,310200,0.9788,0.1097
advanced,0.2,310800,0.9788,0.1097
advanced,0.2,311400,0.9788,0.1097
advanced,0.2,312000,0.9788,0.1097
advanced,0.2,312600,0.9788,0.1097
advanced,0.2,313200,0.9788,0.1097
advanced,0.2,313800,0.9788,0.1097
advanced,0.2,314400,0.9788,0.1097
advanced,0.2,315000,0.9788,0.1097
advanced,0.2,315600,0.9788,0.1097
advanced,0.2,316200,0.9788,0.1097
advanced,0.2,316800,0.9788,0.1097
advanced,0.2,317400,0.9788,0.1097
advanced,0.2,318000,0.9788,0.1097
advanced,0.2,318600,0.9788,0.1097
advanced,0.2,319200,0.9788,0.1097
advanced,0.2,319800,0.9788,0.1097
advanced,0.2,320400,0.9788,0.1097
advanced,0.2,321000,0.9788,0.1097
advanced,0.2,321600,0.9788,0.1097
advanced,0.2,322200,0.9788,0.1097
advanced,0.2,322800,0.9788,0.1097
advanced,0.2,323400,0.9788,0.1097
advanced,0.2,324000,0.9788,0.1097
advanced,0.2,324600,0.9788,0.1097
advanced,0.2,325200,0.9788,0.1097
advanced,0.2,325800,0.9788,0.1097
advanced,0.2,326400,0.9788,0.1097
advanced,0.2,327000,0.9788,0.1097
advanced,0.2,327600,0.9788,0.1097
advanced,0.2,328200,0.9788,0.1097
advanced,0.2,328800,0.9788,0.1097
advanced,0.2,329400,0.9788,0.1097
advanced,0.2,330000,0.9788,0.1097
advanced,0.2,330600,0.9788,0.1097
advanced,0.2,331200,0.9788,0.1097
advanced,0.2,331800,0.9788,0.1097
advanced,0.2,332400,0.9799,0.1076
advanced,0.2,333000,0.9799,0.1076
advanced,0.2,333600,0.9799,0.1076
advanced,0.2,334200,0.9799,0.1076
advanced,0.2,334800,0.9799,0.1076
advanced,0.2,335400,0.9799,0.1076
advanced,0.2,336000,0.9815,0.1074
advanced,0.2,336600,0.9815,0.1074
advanced,0.2,337200,0.9815,0.1074
advanced,0.2,337800,0.9815,0.1074
advanced,0.2,338400,0.9815,0.1074
advanced,0.2,339000,0.9815,0.1074
advanced,0.2,339600,0.9815,0.1074
advanced,0.2,340200,0.9831,0.0961
advanced,0.2,340800,0.9831,0.0961
advanced,0.2,341400,0.9831,0.0961
advanced,0.2,342000,0.9831,0.0961
advanced,0.2,342600,0.9831,0.0961
advanced,0.2,343200,0.9831,0.0961
advanced,0.2,343800,0.9843,0.0944
advanced,0.2,344400,0.9843,0.0944
advanced,0.2,345000,0.9843,0.0944
advanced,0.2,345600,0.9843,0.0944
advanced,0.2,346200,0.9843,0.0944
advanced,0.2,346800,0.9843,0.0944
advanced,0.2,347400,0.9843,0.0944
advanced,0.2,348000,0.9843,0.0944
advanced,0.2,348600,0.9843,0.0944
advanced,0.2,349200,0.9843,0.0944
advanced,0.2,349800,0.9843,0.0944
advanced,0.2,350400,0.9843,0.0944
advanced,0.2,351000,0.9843,0.0944
advanced,0.2,351600,0.9843,0.0944
advanced,0.2,352200,0.9843,0.0944
advanced,0.2,352800,0.9843,0.0944
advanced,0.2,353400,0.9860,0.0830
advanced,0.2,354000,0.9860,0.0830
advanced,0.2,354600,0.9860,0.0830
advanced,0.2,355200,0.9860,0.0830
advanced,0.2,355800,0.9860,0.0830
advanced,0.2,356400,0.9860,0.0830
advanced,0.2,357000,0.9860,0.0830
advanced,0.2,357600,0.9860,0.0830
advanced,0.2,358200,0.9860,0.0830
advanced,0.2,358800,0.9860,0.0830
advanced,0.2,359400,0.9860,0.0830
advanced,0.2,360000,0.9860,0.0830
advanced,0.2,360600,0.9860,0.0830
advanced,0.2,361200,0.9860,0.0830
advanced,0.2,361800,0.9893,0.0603
advanced,0.2,362400,0.9893,0.0603
advanced,0.2,363000,0.9893,0.0603
advanced,0.2,363600,0.9893,0.0603
advanced,0.2,364200,0.9893,0.0603
advanced,0.2,364800,0.9905,0.0587
advanced,0.2,365400,0.9905,0.0587
advanced,0.2,366000,0.9905,0.0587
advanced,0.2,366600,0.9905,0.0587
advanced,0.2,367200,0.9905,0.0587
advanced,0.2,367800,0.9905,0.0587
advanced,0.2,368400,0.9905,0.0587
advanced,0.2,369000,0.9905,0.0587
advanced,0.2,369600,0.9905,0.0587
advanced,0.2,370200,0.9905,0.0587
advanced,0.2,370800,0.9905,0.0587
advanced,0.2,371400,0.9905,0.0587
advanced,0.2,372000,0.9905,0.0587
advanced,0.2,372600,0.9905,0.0587
advanced,0.2,373200,0.9905,0.0587
advanced,0.2,373800,0.9905,0.0587
advanced,0.2,374400,0.9905,0.0587
advanced,0.2,375000,0.9905,0.0587
advanced,0.2,375600,0.9905,0.0587
advanced,0.2,376200,0.9905,0.0587
