step, mean infection rate, std. dev
0,0.0494,0.0112
600,0.0505,0.0136
1200,0.0519,0.0156
1800,0.0519,0.0156
2400,0.0550,0.0227
3000,0.0550,0.0227
3600,0.0550,0.0227
4200,0.0560,0.0232
4800,0.0569,0.0253
5400,0.0579,0.0302
6000,0.0588,0.0331
6600,0.0588,0.0331
7200,0.0606,0.0366
7800,0.0617,0.0372
8400,0.0629,0.0380
9000,0.0629,0.0380
9600,0.0629,0.0380
10200,0.0648,0.0407
10800,0.0659,0.0411
11400,0.0694,0.0409
12000,0.0694,0.0409
12600,0.0694,0.0409
13200,0.0694,0.0409
13800,0.0701,0.0406
14400,0.0723,0.0443
15000,0.0723,0.0443
15600,0.0723,0.0443
16200,0.0733,0.0443
16800,0.0741,0.0441
17400,0.0748,0.0466
18000,0.0748,0.0466
18600,0.0748,0.0466
19200,0.0755,0.0468
19800,0.0765,0.0477
20400,0.0789,0.0480
21000,0.0809,0.0479
21600,0.0817,0.0483
22200,0.0817,0.0483
22800,0.0817,0.0483
23400,0.0832,0.0482
24000,0.0832,0.0482
24600,0.0832,0.0482
25200,0.0850,0.0483
25800,0.0858,0.0485
26400,0.0866,0.0487
27000,0.0885,0.0481
27600,0.0885,0.0481
28200,0.0892,0.0507
28800,0.0892,0.0507
29400,0.0903,0.0517
30000,0.0947,0.0556
30600,0.0980,0.0587
31200,0.0980,0.0587
31800,0.0980,0.0587
32400,0.0988,0.0593
33000,0.1004,0.0594
33600,0.1029,0.0608
34200,0.1055,0.0605
34800,0.1055,0.0605
35400,0.1071,0.0623
36000,0.1079,0.0628
36600,0.1108,0.0624
37200,0.1117,0.0618
37800,0.1136,0.0643
38400,0.1142,0.0640
39000,0.1167,0.0675
39600,0.1175,0.0684
40200,0.1191,0.0698
40800,0.1191,0.0698
41400,0.1214,0.0716
42000,0.1230,0.0748
42600,0.1230,0.0748
43200,0.1258,0.0761
43800,0.1281,0.0793
44400,0.1299,0.0808
45000,0.1328,0.0806
45600,0.1328,0.0806
46200,0.1349,0.0839
46800,0.1367,0.0871
47400,0.1367,0.0871
48000,0.1402,0.0914
48600,0.1420,0.0921
49200,0.1453,0.0921
49800,0.1464,0.0936
50400,0.1489,0.0968
51000,0.1496,0.0979
51600,0.1496,0.0979
52200,0.1504,0.0998
52800,0.1523,0.0987
53400,0.1567,0.1012
54000,0.1594,0.1016
54600,0.1647,0.1040
55200,0.1666,0.1068
55800,0.1700,0.1100
56400,0.1700,0.1100
57000,0.1718,0.1117
57600,0.1749,0.1123
58200,0.1775,0.1134
58800,0.1816,0.1198
59400,0.1846,0.1238
60000,0.1892,0.1300
60600,0.1931,0.1306
61200,0.1992,0.1359
61800,0.2006,0.1354
62400,0.2039,0.1376
63000,0.2075,0.1423
63600,0.2090,0.1435
64200,0.2145,0.1475
64800,0.2178,0.1508
65400,0.2210,0.1562
66000,0.2236,0.1596
66600,0.2262,0.1594
67200,0.2270,0.1596
67800,0.2340,0.1613
68400,0.2377,0.1636
69000,0.2426,0.1674
69600,0.2463,0.1682
70200,0.2501,0.1702
70800,0.2516,0.1727
71400,0.2562,0.1720
72000,0.2590,0.1727
72600,0.2625,0.1735
73200,0.2640,0.1737
73800,0.2664,0.1739
74400,0.2671,0.1749
75000,0.2688,0.1763
75600,0.2713,0.1772
76200,0.2756,0.1758
76800,0.2756,0.1758
77400,0.2792,0.1799
78000,0.2807,0.1806
78600,0.2831,0.1800
79200,0.2879,0.1814
79800,0.2929,0.1875
80400,0.2944,0.1888
81000,0.2954,0.1900
81600,0.2990,0.1922
82200,0.3010,0.1914
82800,0.3044,0.1928
83400,0.3101,0.1947
84000,0.3101,0.1947
84600,0.3130,0.1966
85200,0.3160,0.1987
85800,0.3167,0.1979
86400,0.3185,0.1990
87000,0.3212,0.2010
87600,0.3237,0.2037
88200,0.3305,0.2075
88800,0.3344,0.2111
89400,0.3353,0.2113
90000,0.3369,0.2104
90600,0.3418,0.2145
91200,0.3453,0.2145
91800,0.3558,0.2177
92400,0.3597,0.2190
93000,0.3630,0.2215
93600,0.3700,0.2254
94200,0.3743,0.2275
94800,0.3780,0.2297
95400,0.3818,0.2327
96000,0.3818,0.2327
96600,0.3888,0.2365
97200,0.3906,0.2380
97800,0.3932,0.2372
98400,0.3940,0.2380
99000,0.3963,0.2399
99600,0.4012,0.2441
100200,0.4020,0.2449
100800,0.4065,0.2439
101400,0.4115,0.2447
102000,0.4126,0.2446
102600,0.4136,0.2448
103200,0.4169,0.2478
103800,0.4200,0.2467
104400,0.4250,0.2467
105000,0.4304,0.2461
105600,0.4315,0.2459
106200,0.4336,0.2479
106800,0.4345,0.2489
107400,0.4385,0.2528
108000,0.4435,0.2530
108600,0.4464,0.2537
109200,0.4464,0.2537
109800,0.4528,0.2570
110400,0.4572,0.2563
111000,0.4593,0.2581
111600,0.4628,0.2602
112200,0.4677,0.2633
112800,0.4688,0.2624
113400,0.4712,0.2632
114000,0.4720,0.2641
114600,0.4748,0.2666
115200,0.4773,0.2692
115800,0.4779,0.2688
116400,0.4806,0.2660
117000,0.4832,0.2662
117600,0.4840,0.2658
118200,0.4872,0.2642
118800,0.4925,0.2627
119400,0.4962,0.2656
120000,0.4996,0.2669
120600,0.5035,0.2699
121200,0.5052,0.2714
121800,0.5106,0.2716
122400,0.5125,0.2718
123000,0.5187,0.2749
123600,0.5204,0.2758
124200,0.5214,0.2759
124800,0.5230,0.2778
125400,0.5251,0.2765
126000,0.5258,0.2768
126600,0.5274,0.2759
127200,0.5293,0.2753
127800,0.5313,0.2741
128400,0.5353,0.2753
129000,0.5361,0.2765
129600,0.5393,0.2768
130200,0.5426,0.2760
130800,0.5435,0.2749
131400,0.5459,0.2757
132000,0.5500,0.2742
132600,0.5539,0.2746
133200,0.5547,0.2759
133800,0.5579,0.2745
134400,0.5635,0.2756
135000,0.5676,0.2743
135600,0.5726,0.2728
136200,0.5766,0.2703
136800,0.5806,0.2706
137400,0.5835,0.2708
138000,0.5870,0.2700
138600,0.5878,0.2705
139200,0.5962,0.2695
139800,0.5980,0.2686
140400,0.6011,0.2661
141000,0.6072,0.2677
141600,0.6088,0.2696
142200,0.6110,0.2664
142800,0.6117,0.2662
143400,0.6137,0.2658
144000,0.6187,0.2655
144600,0.6223,0.2646
145200,0.6249,0.2663
145800,0.6258,0.2667
146400,0.6291,0.2659
147000,0.6328,0.2643
147600,0.6353,0.2640
148200,0.6368,0.2649
148800,0.6398,0.2630
149400,0.6450,0.2615
150000,0.6488,0.2588
150600,0.6521,0.2593
151200,0.6555,0.2605
151800,0.6572,0.2604
152400,0.6600,0.2604
153000,0.6652,0.2597
153600,0.6700,0.2578
154200,0.6739,0.2591
154800,0.6739,0.2591
155400,0.6757,0.2590
156000,0.6773,0.2596
156600,0.6806,0.2584
157200,0.6840,0.2570
157800,0.6852,0.2580
158400,0.6874,0.2552
159000,0.6874,0.2552
159600,0.6874,0.2552
160200,0.6885,0.2553
160800,0.6885,0.2553
161400,0.6907,0.2541
162000,0.6937,0.2534
162600,0.6957,0.2520
163200,0.6980,0.2514
163800,0.6999,0.2506
164400,0.7016,0.2519
165000,0.7043,0.2518
165600,0.7060,0.2526
166200,0.7077,0.2522
166800,0.7088,0.2507
167400,0.7107,0.2515
168000,0.7131,0.2501
168600,0.7184,0.2497
169200,0.7209,0.2480
169800,0.7232,0.2493
170400,0.7268,0.2494
171000,0.7285,0.2499
171600,0.7305,0.2480
172200,0.7352,0.2479
172800,0.7380,0.2488
173400,0.7380,0.2488
174000,0.7411,0.2478
174600,0.7421,0.2485
175200,0.7441,0.2501
175800,0.7478,0.2507
176400,0.7493,0.2517
177000,0.7507,0.2525
177600,0.7563,0.2508
178200,0.7597,0.2529
178800,0.7633,0.2527
179400,0.7652,0.2520
180000,0.7659,0.2521
180600,0.7659,0.2521
181200,0.7703,0.2472
181800,0.7713,0.2452
182400,0.7736,0.2447
183000,0.7771,0.2434
183600,0.7796,0.2448
184200,0.7814,0.2457
184800,0.7837,0.2453
185400,0.7859,0.2451
186000,0.7879,0.2424
186600,0.7919,0.2423
187200,0.7941,0.2414
187800,0.7968,0.2409
188400,0.7987,0.2392
189000,0.7996,0.2399
189600,0.8012,0.2381
190200,0.8012,0.2381
190800,0.8012,0.2381
191400,0.8021,0.2372
192000,0.8044,0.2365
192600,0.8054,0.2344
193200,0.8054,0.2344
193800,0.8054,0.2344
194400,0.8087,0.2343
195000,0.8094,0.2347
195600,0.8100,0.2351
196200,0.8107,0.2356
196800,0.8115,0.2361
197400,0.8148,0.2340
198000,0.8167,0.2300
198600,0.8189,0.2271
199200,0.8217,0.2254
199800,0.8239,0.2250
200400,0.8259,0.2225
201000,0.8276,0.2222
201600,0.8296,0.2232
202200,0.8314,0.2239
202800,0.8321,0.2241
203400,0.8345,0.2190
204000,0.8366,0.2166
204600,0.8366,0.2166
205200,0.8407,0.2155
205800,0.8418,0.2142
206400,0.8418,0.2142
207000,0.8438,0.2122
207600,0.8458,0.2132
208200,0.8458,0.2132
208800,0.8478,0.2089
209400,0.8478,0.2089
210000,0.8511,0.2040
210600,0.8521,0.2044
211200,0.8544,0.2039
211800,0.8554,0.2034
212400,0.8554,0.2034
213000,0.8563,0.2015
213600,0.8574,0.2010
214200,0.8600,0.2021
214800,0.8620,0.2024
215400,0.8648,0.2026
216000,0.8657,0.2031
216600,0.8691,0.2004
217200,0.8701,0.2004
217800,0.8731,0.2000
218400,0.8731,0.2000
219000,0.8731,0.2000
219600,0.8759,0.2003
220200,0.8770,0.2003
220800,0.8770,0.2003
221400,0.8813,0.1959
222000,0.8813,0.1959
222600,0.8813,0.1959
223200,0.8813,0.1959
223800,0.8813,0.1959
224400,0.8832,0.1931
225000,0.8832,0.1931
225600,0.8843,0.1917
226200,0.8868,0.1920
226800,0.8889,0.1908
227400,0.8889,0.1908
228000,0.8889,0.1908
228600,0.8900,0.1890
229200,0.8911,0.1891
229800,0.8921,0.1882
230400,0.8921,0.1882
231000,0.8921,0.1882
231600,0.8921,0.1882
232200,0.8921,0.1882
232800,0.8928,0.1884
233400,0.8964,0.1887
234000,0.8964,0.1887
234600,0.8987,0.1865
235200,0.8999,0.1862
235800,0.9010,0.1846
236400,0.9010,0.1846
237000,0.9010,0.1846
237600,0.9010,0.1846
238200,0.9010,0.1846
238800,0.9010,0.1846
239400,0.9045,0.1793
240000,0.9069,0.1729
240600,0.9080,0.1727
241200,0.9089,0.1730
241800,0.9101,0.1723
242400,0.9111,0.1726
243000,0.9131,0.1701
243600,0.9131,0.1701
244200,0.9162,0.1693
244800,0.9172,0.1696
245400,0.9182,0.1684
246000,0.9191,0.1687
246600,0.9201,0.1677
247200,0.9212,0.1672
247800,0.9233,0.1663
248400,0.9233,0.1663
249000,0.9233,0.1663
249600,0.9242,0.1655
250200,0.9242,0.1655
250800,0.9242,0.1655
251400,0.9256,0.1604
252000,0.9276,0.1594
252600,0.9289,0.1529
253200,0.9289,0.1529
253800,0.9300,0.1516
254400,0.9300,0.1516
255000,0.9310,0.1513
255600,0.9319,0.1513
256200,0.9319,0.1513
256800,0.9319,0.1513
257400,0.9319,0.1513
258000,0.9338,0.1503
258600,0.9338,0.1503
259200,0.9350,0.1501
259800,0.9350,0.1501
260400,0.9363,0.1450
261000,0.9363,0.1450
261600,0.9377,0.1384
262200,0.9377,0.1384
262800,0.9377,0.1384
263400,0.9388,0.1373
264000,0.9413,0.1312
264600,0.9413,0.1312
265200,0.9426,0.1260
265800,0.9436,0.1250
266400,0.9436,0.1250
267000,0.9436,0.1250
267600,0.9446,0.1249
268200,0.9459,0.1200
268800,0.9484,0.1181
269400,0.9496,0.1172
270000,0.9496,0.1172
270600,0.9506,0.1174
271200,0.9513,0.1176
271800,0.9524,0.1178
272400,0.9524,0.1178
273000,0.9524,0.1178
273600,0.9540,0.1169
274200,0.9575,0.1105
274800,0.9575,0.1105
275400,0.9575,0.1105
276000,0.9586,0.1102
276600,0.9596,0.1094
277200,0.9606,0.1095
